centrality_value,avg_distance,variance
0.0001556420233463035,1.0,0.0
0.000933852140077821,1.0,0.0
0.0009961089494163425,,
0.001106787721573714,1.0,0.0
0.001245136186770428,1.0,0.0
0.2596752734521039,1.0,0.0
0.2605011183240465,,
0.2623085941624816,2.0,0.0
0.26231936393560373,1.6666666666666667,0.2222222222222222
0.2623301345931252,,
0.2639012981419068,1.0,0.0
0.26426150589467523,,
0.2642724366320137,1.0,0.0
0.2642833682736531,1.0,0.0
0.2644036760476562,,
0.2676154154316647,,
0.268143300793871,,
0.27265183408080756,,
0.27624742424833815,1.0,0.0
0.2859531140856449,1.0,0.0
0.28857499674867043,,
0.2885880314384373,1.0,0.0
0.2886010673057893,,
0.28942470795087494,,
0.28943781951687797,,
0.28945093227089946,,
0.29098011695657716,2.0,0.0
0.2909933698312791,,
0.291844072173194,1.0,0.0
0.2918574038653129,,
0.2920174792273671,,
0.2923782915987353,,
0.2923916721438636,,
0.2956798606079028,,
0.29654446173198257,,
0.2969717592272736,1.0,0.0
0.2988889608914467,1.0,0.0
0.29932304652216274,1.0,0.0
0.30015270262217253,1.0,0.0
0.301954271374619,,
0.30294217297371095,,
0.30396548018533537,,
0.30437094126128167,1.0,0.0
0.30579861331620944,1.0,0.0
0.30657631612358754,1.6666666666666667,0.2222222222222222
0.30792088428433007,1.0,0.0
0.3079505676972846,1.0,0.0
0.30820310796022976,,
0.3099073742731647,,
0.31109949983033375,1.0,0.0
0.311144951203641,,
0.31328088790897146,,
0.314421773032262,,
0.31471604492466204,,
0.3161644115209602,1.0,0.0
0.31618005780252206,1.0,0.0
0.3161957056327607,1.0,0.0
0.31627396802215557,,
0.3162896251492853,,
0.3169171839293434,1.0,0.0
0.3175156757785292,,
0.31754723797294054,,
0.31863998942773747,1.0,0.0
0.318767171981019,,
0.31891037376537706,,
0.31892629301729963,1.3333333333333333,0.22222222222222227
0.31894221385860444,,
0.31914932953771735,,
0.31916527265538835,,
0.3192769190952758,1.0,0.0
0.31929287496329656,,
0.3193088324261864,,
0.3194684948255195,1.0,0.0
0.3197722936944727,,
0.31991640018104067,,
0.32030131989850924,,
0.3203495000007804,,
0.32054236544328535,,
0.3205906180950155,1.0,0.0
0.3206710714723732,,
0.32071936288417063,,
0.3208643244282625,,
0.3209449152567219,,
0.32105781045304344,1.0,0.0
0.32117078510106895,1.0,0.0
0.3213808062382074,2.0,0.0
0.3217044525687595,,
0.3222073946248204,,
0.3222724049440385,,
0.32228866162306113,3.0,2.0
0.32230491994226723,1.0,0.0
0.3225652763172395,1.0,0.0
0.3226793145462406,1.0,0.0
0.32272821276029523,,
0.3232016606644862,1.0,0.0
0.32325071732939864,1.0,0.0
0.32354537033552255,1.0,0.0
0.3237421042825216,,
0.32379132515789394,2.0,0.0
0.32423498746590024,1.0,0.0
0.32466336846463556,1.0,0.0
0.32467986726372416,2.4,1.4400000000000004
0.32471286989304554,1.0,0.0
0.32476238641872435,1.5,0.25
0.3247788952834264,1.0,0.0
0.3248119180485798,,
0.32486146478952377,4.0,0.0
0.3249606036323465,,
0.324977132655929,,
0.3250101957480702,,
0.32502672981714215,,
0.3251094254027867,,
0.3252583835470938,,
0.32530806659957046,,
0.32534119706770365,1.0,0.0
0.3254406289738979,1.8,0.9600000000000002
0.32545720686748325,,
0.3255235353347717,1.0,0.0
0.32558989084317197,1.0,0.0
0.3260384990822395,,
0.32612171037800847,,
0.32630492482204104,,
0.32632159088899143,,
0.32633825865847194,,
0.3263549281307434,,
0.3263882721847032,4.0,0.0
0.32643830104310056,1.0,0.0
0.32658847968182614,,
0.3266218714797589,1.0,0.0
0.32675550698182193,1.0,0.0
0.3270565870496833,,
0.32710682101246996,,
0.32715707040890796,1.0,0.0
0.3273414503543173,1.0,0.0
0.3273749963115169,1.0,0.0
0.3274756754492857,1.0,0.0
0.3275092489243164,1.0,0.0
0.32752603824348,,
0.32755962204642725,,
0.3276604147913003,,
0.3276772196130662,1.0,0.0
0.3277276444224449,1.0,0.0
0.32777808475351755,2.0,1.0
0.32784536268552766,,
0.3278790120094203,1.5,0.25
0.32789583926176874,,
0.32798000143817063,,
0.32801367840720624,,
0.3280305194853193,,
0.3280979010946215,1.0,0.0
0.3281990254284463,1.0,0.0
0.3287224957818257,,
0.3287901620016243,1.0,0.0
0.3288747839612685,,
0.3289425128978821,,
0.3291119573489705,1.0,0.0
0.3291628247303227,,
0.32917978401852566,3.0,2.0
0.32919674505438806,,
0.3292137078381802,3.3333333333333335,0.8888888888888888
0.32923067237017234,1.0,0.0
0.3292476386506346,,
0.329281576458051,1.0,0.0
0.3293324962894621,,
0.329434383212105,,
0.3294683595305056,,
0.3296043349161971,,
0.32967236470668543,1.0,0.0
0.32970639013394387,1.9523809523809523,0.9977324263038547
0.3298595915130138,,
0.3299277267242739,,
0.3300299823346022,,
0.330047031099058,,
0.3300981879625711,,
0.3301152437747011,2.0,0.0
0.33014936068703826,,
0.33016642178779204,1.8,0.96
0.33057641786182873,,
0.3310731903832296,,
0.3311075055978215,,
0.3311418279265867,,
0.3312448376200521,1.0,0.0
0.33160587678494646,,
0.3317436226188049,,
0.33182977189236335,2.0,0.0
0.3319849533912998,,
0.33200220473994824,,
0.3320539695450114,,
0.3320884883837811,,
0.33215754759633814,,
0.3321920879746043,4.0,0.0
0.33220936085771446,1.0,0.0
0.33224391201328984,,
0.3323476086150418,1.0,0.0
0.33236489767547023,,
0.3323821885347812,1.0,0.0
0.3324686698244036,,
0.3326590871610728,1.0,0.0
0.3327110570231508,,
0.3329017521892228,,
0.33314477150983235,,
0.3332316501338113,,
0.3333533563610333,,
0.3334229426999042,1.0,0.0
0.33356220256946667,,
0.33357961823294335,1.0,0.0
0.33359703571509836,1.0,0.0
0.3337015788162313,1.0,0.0
0.3337538749420448,1.0,0.0
0.3338236286125484,3.0,0.0
0.33387596300248557,1.0,0.0
0.33391086171294887,,
0.3339457677198183,1.0,0.0
0.3340156016319304,,
0.3340505295417528,,
0.3341378812831737,,
0.33415535711378475,1.0,0.0
0.3341728347725071,,
0.33419031425962775,1.4,0.24000000000000005
0.3342252787202115,1.0,0.0
0.33424276369424866,1.0,0.0
0.33426025049783215,,
0.33427773913124914,1.0,0.0
0.3342952295947867,,
0.33431272188873234,3.0,0.0
0.3343302160133733,1.0,0.0
0.33436520975589096,3.0,0.0
0.3344177141070696,1.0,0.0
0.3344352192219202,,
0.3344527261694793,,
0.33447023495003475,,
0.3344877455638744,1.0,0.0
0.33455780635783444,2.3333333333333335,0.8888888888888888
0.3345753261424154,1.0,0.0
0.3345928477620091,1.0,0.0
0.33461037121690396,3.0,0.0
0.3346278965073883,,
0.3347155505037492,,
0.3347857067708847,,
0.334838343274229,,
0.3348734434726959,,
0.33503148547538353,,
0.3351369297112654,,
0.3352248506225701,,
0.3353832245677461,3.0,0.0
0.33541843910203506,,
0.33547127477109817,1.0,0.0
0.33552412708830814,1.6666666666666667,0.888888888888889
0.33554174822832644,1.0,0.0
0.33555937121930485,1.0,0.0
0.3355769960615349,1.0,0.0
0.3356651480516741,,
0.33573570299608846,2.0,0.0
0.33575334636689075,,
0.33577099159215706,,
0.3358415910437113,1.0,0.0
0.3358592455456849,1.0,0.0
0.33594754590469894,,
0.33598287905004015,,
0.3360005484099692,1.0,0.0
0.3360358927058099,,
0.33624811473162275,,
0.33631891498739613,,
0.3363366197102319,,
0.3365137695151988,,
0.33654922187186914,2.0,1.0
0.3365846816992711,3.0,2.0
0.33663788545316214,1.0,0.0
0.336691106029488,,
0.3367088499612945,,
0.33674434343622855,1.0,0.0
0.33715305688736485,,
0.3371886440793521,,
0.33734887945591446,,
0.3374201440726466,,
0.3376519621612707,2.7,1.41
0.3376698075162816,1.0,0.0
0.33768765475769363,,
0.33772335490091787,,
0.3377412078033284,,
0.33775906259333704,,
0.33790196890287516,1.0,0.0
0.3379198406947461,,
0.3380092280190225,1.0,0.0
0.33815234614245604,1.0,0.0
0.33818814461229957,1.0,0.0
0.33822395066254973,,
0.3383314143198244,2.3333333333333335,0.8888888888888888
0.33836725071579093,1.0,0.0
0.3383851717607947,1.0,0.0
0.3384030947042142,,
0.33849273790810935,1.0,0.0
0.3385106722483609,1.0,0.0
0.338618318211552,,
0.33863626586185214,,
0.33865421541479723,,
0.3386721668706898,1.0,0.0
0.33874399172978975,1.509090909090909,0.2499173553719009
0.3388338156563197,1.0,0.0
0.3388517861583433,4.0,0.0
0.3388697585666471,1.0,0.0
0.33895964921298555,1.0,0.0
0.3389776330653419,1.6666666666666667,0.2222222222222222
0.3390136064955728,,
0.33903159607405486,,
0.3390495875618533,,
0.3392115969214528,1.0,0.0
0.33930166903959447,,
0.33944588396639913,,
0.3394999961749064,,
0.33953608056627327,,
0.3395721726290494,1.0,0.0
0.339644379778617,,
0.3396804948703049,1.0,0.0
0.33975274809973754,,
0.3397708162101449,1.8,0.9600000000000002
0.3397888862423849,2.0,0.0
0.33982503207358994,,
0.3398431078731683,2.0,0.0
0.33987926524181106,,
0.33995160306563604,,
0.3400058766439021,,
0.3400239716878959,3.0,0.0
0.3400601675545861,,
0.34015069094476724,1.0,0.0
0.3401688014064298,4.0,0.0
0.34020502811584474,,
0.3402231443642134,1.0,0.0
0.3402593826498143,1.8,0.9600000000000002
0.3403681438397296,2.0,0.0
0.3404044130223008,1.0,0.0
0.34044068993528875,,
0.3404588312914614,,
0.3404769745811651,,
0.34049511980470926,2.3333333333333335,0.8888888888888888
0.3405132669624028,1.0,0.0
0.34053141605455517,1.0,0.0
0.34054956708147566,1.6818181818181819,0.21694214876033058
0.34058587494085846,,
0.34062219054302734,2.3333333333333335,0.8888888888888888
0.3406948449856324,3.0,0.0
0.34071301343939653,2.0,0.0
0.34073118383102574,,
0.3407493561608301,1.0,0.0
0.3407675304291196,,
0.34080388478239526,3.0,0.0
0.3408220648680019,,
0.340840246893335,1.0,0.0
0.34089480461079735,1.0,0.0
0.34091299439814116,2.5,1.05
0.34094937979697765,1.0,0.0
0.34098577296341803,,
0.34102217389995004,3.3333333333333335,0.22222222222222224
0.34104037728277803,2.388888888888889,0.7376543209876544
0.341076789879114,1.0,0.0
0.34109499909324453,3.0,0.0
0.3412042952211249,,
0.34124074283050604,1.0,0.0
0.3413136614143685,,
0.34135013239384326,,
0.3413866111683443,1.0,0.0
0.3414230977403711,,
0.3414778422242418,,
0.3415143483010244,2.3333333333333335,0.8888888888888888
0.34155086218408875,1.5714285714285714,0.8163265306122449
0.34156912205375906,3.0,0.0
0.34160564765094176,3.0,0.0
0.3416421810606686,3.0,0.0
0.3416787222854465,,
0.3417701095547001,1.0,0.0
0.3417883928751706,,
0.34180667815191335,,
0.3418249653852423,,
0.3418432545754716,2.0,1.0
0.34187983882788764,3.0,0.0
0.34189813389070284,,
0.3419164309116753,1.0,0.0
0.3419347298911193,3.0,2.0
0.3419530308293494,1.0,0.0
0.3420079453999017,2.7,1.41
0.34206287761085574,1.0,0.0
0.3420811922693989,,
0.3421727949879801,,
0.3421911214190758,,
0.3422094498133671,,
0.34222778017116956,3.0,0.0
0.3422644467785699,,
0.3422827830287991,,
0.34233780356939203,3.0,0.0
0.3423744937578674,1.0,0.0
0.34239284180147717,,
0.3424111918117565,1.6666666666666667,0.888888888888889
